PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Greystone Legacy ,Greystone Legacy ,4100 Greystone Dr,Hoover,FPS ,,,2/1/2000,3,,
Greystone Neuroscience Center,Greystone Neuroscience Center,7500 Hugh Daniel Dr ,Birmingham ,Crumpton Sprinkler,,,12/5/1994,4,,
Greystone Neuroscience Center,Greystone Neuroscience Center,7500 Hugh Daniel Dr ,Birmingham ,Crumpton Sprinkler,,,8/3/1995,4,,
Homequarter Plaza,Homequarter Plaza,Hwy 150 & Shades Crest Rd,Hoover,Crumpton Sprinkler,,,9/22/1989,2,,
Hoover Board of Education - Central Office ,Hoover Board of Education ,2810 Metropolitan Way ,Birmingham ,FPS ,,,2/1/2002,7,,
Hoover Police Operations Center,Hoover Police Operations Center,3142 Lorna Rd,Hoover,Alabama Sprinkler,,,2/15/2006,1,,
Hoover Public Service Center ,Hoover Public Service Center ,2020 Valleydale Rd ,Hoover,TFP ,TC1252,,12/12/2006,1,,
Hoover Senior Center ,Hoover Senior Center ,400 Municipal Dr ,Hoover,TFP ,TC1218,,12/28/2006,2,,
Hunter Street Baptist Church,Hunter Street Baptist Church,2600 John Hawkins Pkwy ,Hoover,Crumpton Sprinkler,,,10/12/1988,1,,
Inverness Heights Market,Inverness Heights Market,5025 US-280 ,Hoover,FPS ,,,11/1/2003,8,,
Inverness Heights Market - Party City,Inverness Heights Market,5025 US-280 ,Hoover,FPS ,,,3/1/2004,1,,
JRH Hoover Offices,JRH Hoover Offices,,Hoover,Alabama Sprinkler,,,2/25/1993,1,,
Long Lewis Ford Addition ,Long Lewis Ford ,2551 John Hawkins Pkwy ,Hoover,FPS ,,,3/1/2002,1,,
Marshalls KIMCO Site #1587 - The Grove ,Marshalls,5583 Grove Blvd,Hoover,TFP ,TC1605,,7/17/2013,2,,
Off the Grill,Off the Grill,1725 Montgomery Hwy S,Hoover,FPS ,,,9/1/2003,1,,
Offices ,Offices,2600 Meadowbrook S Resource Dr,Hoover,FPS ,,,2/16/2001,4,,
Panera Bread,Panera Bread,161 Main St Suite 111,Hoover,FPS ,,,6/21/2004,1,,
Patton Creek Shopping Center - Scottrade Branch Office ,Patton Creek Shopping Center ,181 Main St Suite 117,Hoover,Reminger Architecture ,,,9/25/2008,4,,
Patton Creek Shopping Center - Zoes Kitchen ,Patton Creek Shopping Center,180 Main St Suite 140,Hoover,FPS ,,,6/14/2004,1,,
Phar - Mor Inc,Phar - Mor ,,Hoover,Crumpton Sprinkler,,,3/26/1990,2,,
Publix Super Market at The Village Lee Branch ,Publix Super Market ,410 Doug Baker Blvd ,Hoover,TFP ,TC1093,,11/15/2002,3,,
Rast Residence ,Rast Residence ,260 Shades Crest Rd ,Hoover,TFP ,TC1076,,10/30/2001,1,,
Regions Financial Corp ,Regions Financial Corp ,Riverchase Dr,Hoover,FPS ,,,4/30/2007,1,,
Remax Southern Homes,Remax Southern Homes,110 Inverness Cors,Birmingham ,TFP ,TC1385,,10/10/2008,1,,
Riverchase Galleria ,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,7/10/1986,1,,
Riverchase Galleria  - Kirkland's ,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/7/1986,1,,
Riverchase Galleria - Body Shop,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/24/1986,1,,
Riverchase Galleria - Bombaby Co,Bombay Co,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,12/27/1985,1,,
Riverchase Galleria - Broadwalk Fries ,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/25/1986,1,,
Riverchase Galleria - Brown Shoe Co,Brown Shoe Co,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/16/1986,1,,
Riverchase Galleria - Endicott Johnson Shoes,Riverhchase Galleria,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,12/17/1985,1,,
Riverchase Galleria - Enrico,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,2/5/1986,1,,
Riverchase Galleria - Florsheim Shoe Shop,Riverchase Galleria,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,12/27/1985,1,,
Riverchase Galleria - Jarrod's,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/28/1986,1,,
Riverchase Galleria - Kay Bee Toys & Hobby ,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/27/1986,1,,
Riverchase Galleria - L & N Seafood Grill,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,12/31/1987,3,,
Riverchase Galleria - Lechters,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,4/26/1985,1,,
Riverchase Galleria - Mister Minit ,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/18/2000,1,,
Riverchase Galleria - Ormond Shops Inc,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/20/1986,1,,
Riverchase Galleria - Pine Factory,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,12/19/1985,1,,
Riverchase Galleria - Reeds Jewelers ,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,4/1/1986,1,,
Riverchase Galleria - Silver Spoon Café ,Riverhchase Galleria,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,12/20/1985,1,,
Riverchase Galleria - Sound Shop,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/7/1986,1,,
Riverchase Galleria - Stefanel ,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,8/29/1987,1,,
Riverchase Galleria - T. Edwards,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/14/1986,1,,
Riverchase Galleria - Taco Bell,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/21/1986,1,,
Riverchase Galleria- HealthFair,Riverchase Galleria,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,10/21/1988,1,,
Riverchase Galleria Mall,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,3/7/1994,1,,
Riverchase Galleria Mall - Bombay Co,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,12/27/1985,1,,
Riverchase Galleria Mall - Brown Shoe Co,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/16/1986,1,,
Riverchase Galliera - Corn Dog 7,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/15/1986,1,,
Riverchase Galliera - Pearle Vision Center ,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/23/1986,1,,
Riverchase Galliera - Tennis Lady Tennis Man ,Riverchase Galleria Mall,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,1/24/1986,1,,
Riverchase Shopping Center ,Riverchase Shopping Center ,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,10/12/1987,6,,
Riverchase Shops,Riverchase Shops,2000 Riverchase Galleria ,Hoover,Crumpton Sprinkler,,,7/28/1994,2,,
Roberts & Son Inc,Roberts & Son Inc,Montgomery Hwy,Hoover,Crumpton Sprinkler,,,11/24/1997,2,,
Ross Bridge Renaissance Hotel ,Ross Bridge Renaissance Hotel ,4000 Grand Ave ,Hoover,FPS ,,,2/1/2005,49,,
Ross Bridge Train Depot,Ross Bridge Train Depot,Ross Bridge Prkwy,Hoover,FPS ,,,1/1/2005,4,,
Shops at the Village at Lee Branch ,Shops at the Village at Lee Branch ,611 Doug Baker Blvd,Hoover,TFP ,TC1100,,3/28/2003,4,,
Southlake Office Building ,Southlake Office Building ,4601 Southlake Prkwy ,Hoover,FPS ,,,10/1/2006,7,,
Steak 'N Shake ,Steak 'N Shake ,1817 Montgomery Hwy,Hoover,TFP ,TC1623,,10/29/2013,2,,
Steak 'N Shake ,Steak 'N Shake ,180 Inverness Plaza,Hoover,TFP ,TC1645,,3/28/2014,2,,Closed
Sungard,Sungard ,104 Inverness Center ,Hoover,FPS ,,,1/1/2004,3,,
Surgical Care Affiliates ,Surgical Care Affiliates ,3000 Riverchase Galleria ,Hoover,FPS ,,,1/1/2008,2,,
The Episcopal Church of the Holy Apostles ,The Episcopal Church of the Holy Apostles ,424 Emery Dr,Hoover,TFP ,TC1103,,9/16/2003,3,,
The Preserve Live / Work Bldg ,The Preserve Live / Work Bldg ,Village Green Way,Hoover,TFP ,TC1353,,6/25/2008,3,,
Tj Maxx ,Tj Maxx,1646 Montgomery Hwy,Hoover,TFP ,TC1031,,9/2/1999,1,,
"Toys ""R"" Us ","Toys ""R"" Us ",1715 Montgomery Hwy,Hoover,Crumpton Sprinkler,,,7/14/1989,2,,Closed
Trace Crossings Shopping Center - Remax,Trace Crossings Shopping Center,2539 John Hawkins Prkwy ,Hoover,FPS ,,,5/11/2004,1,,
Food World,Foodworld,2891 Allison-Bonnett Memorial Dr,Hueytown,Crumpton Sprinkler,,,11/4/1986,3,,Now ALDI
Rainaire Products of Ala,Rainaire Products of Ala,Brooklane Industrial Park,Hueytown,Crumpton Sprinkler,,,3/20/1984,1,,
Walgreens,Walgreens,3025 Allison-Bonnett Memorial Dr,Hueytown,Alabama Sprinkler,,,3/18/2002,2,,
ALDI Inc ,ALDI Inc ,2891 Allison-Bonnett Memorial Dr,Hueytown ,TFP ,TC1647,,5/13/2014,2,,
Hueytown Community Center ,Hueytown Community Center ,508 Forest Rd ,Hueytown ,TFP ,TC1299,,8/7/2007,1,,
North Highlands Baptist Church ,North Highlands Baptist Church ,4851 15th St Rd,Hueytown ,FPS ,,,9/2/2004,2,,
Pre-Coat Metals ,Pre-Coat Metals ,3399 Davey Allison Blvd ,Hueytown ,TFP ,TC1712,,4/29/2015,1,,
Winn Dixie  ,Winn Dixie  ,104 River Square Plaza,Hueytown ,FPS ,,,1/1/2003,1,,Now Piggly Wiggly 
Aiport Distribution Center - Georgia Pacific,Aiport Distribution Center,,Huntsville,TFP ,TC1583,,11/27/2012,1,,
Airport Distribution Center Phase II ,Airport Distribution Center Phase II ,,Huntsville,TFP ,TC1382,,2/24/2009,7,,
ALDI Inc ,ALDI Inc ,11909 S Memorial Prkwy ,Huntsville,TFP ,TC1588,,3/25/2013,2,,
Blue Cross Blue Shield of Alabama ,Blue Cross Blue Shield of Alabama ,,Huntsville,TFP ,TC1409,,3/5/2009,3,,
Blue Cross Blue Shield of Alabama ,Blue Cross Blue Shield of Alabama ,Quality Circle Warehouse ,Huntsville,TFP ,TC1540,,8/4/2011,1,,
Blue Fox Distribution Center ,Blue Fox Distribution Center ,Jetplex Indusrial Park - Lot 2 ,Huntsville,TFP ,TC1227,,8/15/2006,1,,
Bluefox Distribution Center - International Diesel ,Bluefox Distribution Center,,Huntsville,TFP ,TC1281,,4/23/2007,2,,
Bridge Street Town Centre ,Bridge Street Town Centre ,365 The Bridge St,Huntsville,TFP ,TC1292,,6/16/2007,4,,
Bruno's,Bruno's ,9020 Bailey Cove Rd SE,Huntsville,Crumpton Sprinkler,,,4/3/1986,3,,Now Walmart
Chaney Thompson Middle / Elementary School,Huntsville Board of Education ,,Huntsville,Crumpton Sprinkler,,,4/11/1988,22,,
Chase Commercial Real Estate ,Chase Commercial Real Estate ,5025 Bradford Dr,Huntsville,TFP ,TC1235,,8/14/2006,3,,
Cinram Expansion ,Cinram Expansion ,4905 Moores Mill Rd,Huntsville,TFP ,TC1246,,1/10/2007,9,,
Cole - Valley Bend Infill ,Cole - Valley Bend Infill ,2722 Carl T Jones Dr SE,Huntsville,TFP ,TC1627,,12/3/2013,1,,
Comfort Inn Hotel ,Comfort Inn Hotel ,4725 University Dr ,Huntsville,TFP ,TC1294,,6/15/2007,3,,
Madison Square Mall - Dental Care,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,5/30/1984,1,,
Fedex Freight Terminal ,Fedex Freight Terminal ,6500 Fedex Way,Madison,TFP ,TC1256,,1/5/2006,4,,
Food World,Food World,930 Old Monrovia Rd NW ,Huntsville,Crumpton Sprinkler,,,7/6/1984,3,,Closed
Hampton Cove,Hampton Cove,450 Old Hwy 431,Huntsville,Crumpton Sprinkler,,,9/20/1995,5,,
Humana Hospital ,Humana Hospital,,Huntsville,Crumpton Sprinkler,,,9/22/1994,13,,
Humana Hospital ,Humana Hospital,,Huntsville,Crumpton Sprinkler,,,7/29/1993,5,,
Huntsville Distribution Facility ,Huntsville Distribution Facility ,2550 Short Pike Rd ,Huntsville,TFP ,TC1227,,8/15/2006,7,,
Huntsville Recovery Clinic ,Huntsville Recovery Clinic ,4040 Independence Dr NW ,Huntsville,TFP ,TC1384,,10/6/2008,2,,
"Madison Sqaure Mall - Coffee, Tea & Thee",Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/4/1984,1,,Closed 
Madison Sqaure Mall - Lorch's Diamond Center,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/3/1984,1,,Closed 
Madison Square Mall - Chess King,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,10/8/1984,1,,Closed 
Madison Square Mall - Corn Dog 7 ,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/3/1984,1,,Closed 
Madison Square Mall - Famous Gyros,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/3/1984,1,,Closed 
Madison Square Mall - Famous Ramos Potato Place,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/3/1984,1,,Closed 
Madison Square Mall - Famous Ramos Potato Place,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/30/1984,1,,Closed 
Madison Square Mall - Kay Bee Toy & Hobby ,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/26/1984,2,,Closed 
Madison Square Mall - Peanut Shake,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/4/1984,1,,Closed 
Madison Square Mall - Rave,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/3/1984,1,,Closed 
Madison Square Mall - The Record Bar,Madison Square Mall,5901 University Dr ,Huntsville,Crumpton Sprinkler,,,3/29/1984,1,,Closed 
Mattress Firm ,Mattress Firm,6886 Govenors W Suite 116,Huntsville,TFP ,TC1564,,7/19/2012,1,,
Micromedic Systems ,Micromedic Systems ,,Huntsville,Crumpton Sprinkler,,,9/22/1980,2,,
Micromedic Systems ,Micromedic Systems ,,Huntsville,Crumpton Sprinkler,,,8/28/1980,1,,
NASA,NASA,Marshall Space Flight Ctr,Huntsville,Crumpton Sprinkler,,,7/22/1996,2,,
New York Company ,New York Company ,340 The Bridge St,Huntsville,TFP ,TC1323,,9/10/2007,1,,
Nexolve Corp,Nexolve Corp,655 Discovery Dr NW ,Huntsville,TFP ,TC1435,,12/18/2009,2,,
PETCO ,PETCO,6140 University Dr,Huntsville,TFP ,TC1519,,7/15/2011,1,,
Quality Circle Warehouse ,Quality Circle Warehouse ,,Huntsville,TFP ,TC1374,,1/8/2008,5,,
SCI System ,SCI System ,4000 S Memorial Prkwy,Huntsville,Crumpton Sprinkler,,,5/16/1983,1,,
Star Market ,Star Market,702 Pratt Ave NE,Huntsville,TFP ,TC1295,,7/31/2007,1,,
The Heart Center P.C. ,The Heart Center P.C. ,930 Franklin St,Huntsville,TFP ,TC1039,,5/1/2000,8,,
UAB - School of Medicine ,UAB,301 Governors Dr SE ,Huntsville,FPS ,,,2/1/2002,7,,
UAB - School of Medicine ,UAB,301 Governors Dr SE ,Huntsville,FPS ,,,12/1/2002,1,,
UAB - School of Medicine ,UAB,301 Governors Dr SE ,Huntsville,FPS ,,,10/1/2002,1,,
Von Braun Civic Center ,Von Braun Civic Center ,700 Monroe St SW,Huntsville,Crumpton Sprinkler,,,3/8/1996,1,,
Walgreens ,Walgreens,2784 Carl T Jones Dr SE,Huntsville,FPS ,,,7/1/2002,1,,
Walgreens #15545 ,Walgreens ,274 Sutton Rd,Huntsville,TFP ,TC1594,,4/10/2013,1,,
Wyndham Park Welcome Center Addition ,Wyndham Park ,2004 Max Luther Dr,Huntsville,TFP ,TC1283,,5/30/2007,1,,
Commerce Square,Commerce Square,300 Franklin St SE ,Irondale,Crumpton Sprinkler,,,12/17/1986,1,,
Commerce Square - Old Red Top,Commerce Square,300 Franklin St SE ,Irondale,Crumpton Sprinkler,,,8/18/1988,1,,
Major Video Concepts,Major Video Concepts,2620 Commerce Square Dr,Irondale,Crumpton Sprinkler,,,6/22/1987,1,,
Motion Industries ,Motion Industries ,1605 Alton Rd,Birmingham ,Crumpton Sprinkler,,,6/11/1981,1,,
"Motion Industries, Inc","Motion Industries, Inc",1605 Alton Rd,Birmingham ,Crumpton Sprinkler,,,12/31/1981,1,,
Old Red Top,Old Red Top,,Irondale,Crumpton Sprinkler,,,8/18/1988,1,,
Publishers Warehouse,Publishers Warehouse,402 28th St S,Irondale,Crumpton Sprinkler,,,12/22/1988,2,,
Red Top Corp ,Red Top Corp ,,Irondale,Crumpton Sprinkler,,,2/5/1987,1,,
Royal Crown Bottling Co,Royal Crown Bottling Co,Commerce Square Business Park ,Irondale,Crumpton Sprinkler,,,4/3/1987,1,,
Block USA ,Block USA ,2567 Ruffner Rd ,Birmingham ,FPS ,,,10/1/2006,4,,Closed
CECO Pipeline Services ,CECO Pipeline Services ,1531 Alton Rd,Irondale ,TFP ,TC1375,,8/4/2008,2,,
Collsion Center - Tom Williams ,Collsion Center ,1874 Grants Mill Rd,Irondale ,FPS ,,,4/1/2002,3,,
Crestwood Furniture ,Crestwood Furniture ,1847 Crestwood Blvd,Irondale ,TFP ,TC1592,,2/15/2013,1,,Now Flex Furniture 
Enclave @ Mountain Brook ,Enclave @ Mountain Brook ,4816 Sharpburg Dr,Irondale ,TFP ,TC1394,,1/9/2009,4,,Now Retreat at Mountain Brook Apartments 
Eternal World Televsion Network ,Eternal World Televsion Network ,5817 Old Leeds Rd ,Birmingham ,TFP ,TC1236,,12/6/2006,3,,
Federal Express - City Station Facility ,Federal Express - City Station Facility ,4900 Alton Court ,Irondale ,TFP ,TC1069,,8/1/2001,3,,
IBM Buildout,IBM Buildout ,,Irondale ,FPS ,,,11/1/2002,1,,
Imaging Business Machines ,Imaging Business Machines ,2750 Crestwood Blvd ,Irondale ,FPS ,,,5/23/2006,1,,
Imaging Business Machines ,Imaging Business Machines ,2750 Crestwood Blvd ,Irondale ,FPS ,,,4/1/2005,3,,
Imaging Business Machines ,Imaging Business Machines ,2750 Crestwood Blvd ,Irondale ,FPS ,,,8/1/2001,1,,
United Chair ,United Chair ,2501 1st Avenue S ,Irondale ,Crumpton Sprinkler,,,3/8/1992,1,,
United Chair ,United Chair ,2451 1st Avenue S ,Irondale ,Crumpton Sprinkler,,,4/30/1979,1,,
Zerox ,Zerox ,3000 Commerce Square S ,Irondale ,Crumpton Sprinkler,,,5/3/1989,1,,
Emergency Operation Center,Emergency Operation Center,,Jacksonville,Crumpton Sprinkler,,,9/16/1992,3,,
Jacksonville Hospital,Jacksonville Hospital,1701 Pelham Rd S,Jacksonville,Crumpton Sprinkler,,,3/24/1992,1,,
Jacksonville Nursing Home,Jacksonville Nursing Home,410 Wilson Dr SW ,Jacksonville,Crumpton Sprinkler,,,1/28/1980,2,,
Jacksonville Hospital ,Jacksonville Hospital ,1701 Pelham Rd S,Jacksonville ,TFP ,TC1028,,9/9/1999,1,,
Walgreens ,Walgreens,311 Pelham Rd S,Jacksonville ,Alabama Sprinkler,,,4/17/2008,1,,
Arc,The Arc of Walker County,745 Russell Dairy Rd ,Jasper,Alabama Sprinkler,,,7/12/2001,1,,
Arc ,The Arc of Walker County,745 Russell Dairy Rd ,Jasper,Alabama Sprinkler,,,6/16/2001,1,,
Bevill State Community College  ,Bevill State Community College  ,1411 Indiana Ave ,Jasper,FPS ,,,5/1/2007,1,,
Bevill State Community College - Mathematics & Science Bldg ,Bevill State Community College ,1411 Indiana Ave ,Jasper,FPS ,,,7/1/2007,7,,
Brunos - Big B Drugs,Bruno's,714 Hwy 78 E,Jasper,Crumpton Sprinkler,,,10/24/1983,2,,Now Pet Depot 
Carl Cannon Chevrolet ,Carl Cannon Chevrolet ,299 Carl Cannon Blvd ,Jasper,FPS ,,,7/1/2008,2,,
Farmstead Baptist Church ,Farmstead Baptist Church ,265 Curry Rd,Jasper,TFP ,TC1355,,5/12/2008,2,,
Fontaine Beam Facility Expansion,Fontaine Beam Facility Expansion,3315 Industrial Way ,Jasper,FPS ,,,1/1/2008,1,,
Fontaine Trailer Co ,Fontaine Trailer Co ,3315 Industrial Way ,Jasper,FPS ,,,1/1/2006,2,,
Fontaine Trailer Co ,Fontaine Trailer Co ,3315 Industrial Way ,Jasper,FPS ,,,1/5/2006,1,,
Food Max,FoodMax,714 Hwy 78,Jasper,Crumpton Sprinkler,,,2/4/1992,7,,Now Pet Depot 
Goody's #54,Goody's #54,714 Hwy 78,Jasper,Alabama Sprinkler,,,8/24/1999,2,,
Guyan Leasing,Guyan Leasing,Old Bankhead Hwy,Jasper,Crumpton Sprinkler,,,7/23/1985,1,,
Hobby Lobby ,Hobby Lobby ,680 Hwy 78 E ,Jasper,TFP ,TC1649,,5/5/2014,3,,
Marshal Durbin Company,Marshal Durbin Company,Old Parish Hwy,Jasper,Alabama Sprinkler,,,6/2/1999,1,,
Medical Office Building,Community Health Services Building,,Jasper,Crumpton Sprinkler,,,5/25/1988,2,,
Shadescrest Nursing Home,Shadescrest Nursing Home,331 25th St W,Jasper,Alabama Sprinkler,,,6/3/1997,1,,
Symbol Mattress,Symbol Mattress,100 29th St E,Jasper,Alabama Sprinkler,,,5/25/2003,1,,
Walgreens ,Walgreens,100 N Airport Rd ,Jasper,FPS ,,,3/1/2004,1,,
Walgreens ,Walgreens,100 N Airport Rd ,Jasper,FPS ,,,4/1/2005,1,,
Walker Regional Medical Center,Walker Regional Medical Center,3400 Hwy 78 ,Jasper,Crumpton Sprinkler,,,4/20/1988,5,,
Wal-Mart Stores Inc. ,Wal-Mart Stores Inc. ,1801 Hwy 78 E ,Jasper,Alabama Sprinkler,,,8/31/2004,2,,
Wal-Mart Stores Inc. ,Wal-Mart Stores Inc. ,1801 Hwy 78 E ,Jasper,Alabama Sprinkler,,,8/22/2005,1,,
Wal-Mart Stores Inc. ,Wal-Mart Stores Inc. ,1801 Hwy 78 E ,Jasper,Alabama Sprinkler,,,10/1/2005,1,,
Wal-Mart Stores Inc. ,Wal-Mart Stores Inc. ,1801 Hwy 78 E ,Jasper,Crumpton Sprinkler,,,6/25/1995,2,,
Wal-Mart Stores Inc. - Vision Center ,Wal-Mart Stores Inc. ,1801 Hwy 78 E ,Jasper,Alabama Sprinkler,,,10/4/2004,2,,
Winn Dixie Food Store,Winn Dixie Food Store,2405 US Hwy 78 E,Jasper,Alabama Sprinkler,,,3/14/1997,3,,
AAA - Alabama Motorists Assoc.,AAA - Alabama Motorists Assoc.,2400 Acton Rd,Birmingham ,Crumpton Sprinkler,,,9/23/1993,2,,
First Assembly of God,First Assembly of God,5990 McAshan Dr,McCalla ,Alabama Sprinkler,,,6-31-05,1,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,River Village Offices,Jefferson County,Crumpton Sprinkler,,,1/7/1992,1,,
Acton Ridge Office Bldg - Dr. Tom Metz Office,Acton Ridge Office Bldg,2550 Acton Rd,Birmingham ,FPS ,,,3/1/2002,1,,
Center Point Elementary School ,Center Point Elementary School ,4801 Indian Trl,Center Point,FPS ,,,11/1/2001,7,,
CVS Pharmacy #4948,CVS Pharmacy,5705 S Chalkville Rd ,Birmingham ,FPS ,,,6/1/2007,1,,
D&K Healthcare Resources ,D&K Healthcare Resources ,6775 Jefferson Metropolitan Pkwy ,McCalla ,TFP ,TC1153,,3/7/2005,6,,
Decoma/Jeffmet Distribution Center ,Decoma/Jeffmet Distribution Center ,Jefferson Metropolitan Park ,Jefferson County ,TFP ,TC1121,,2/25/2004,14,,
Hickory Ridge Phase I ,Hickory Ridge Phase I ,3700 Industrial Pkwy,Jefferson County ,TFP ,TC1514,,5/26/2011,1,,
Jani-King ,Jani-King,2027 Stonecrest Dr,Birmingham ,FPS ,,,9/1/2002,1,,
Jeffmet Phase I - D & K Healthcare Resources,Jeffmet Phase I - McKesson Biobox,,Jefferson County ,TFP ,TC1420,,2/16/2005,1,,
Jeffmet Phase II ,Jeffmet Phase II ,Jefferson Metropolitan Park ,Jefferson County ,TFP ,TC1135,,12/20/2004,7,,
Johnson Sterling Paul,Johnson Sterling Paul,3800 Colonnade Prkwy ,Birmingham ,FPS ,,,2/1/2005,1,,
Lowetown Senior Center ,Lowetown Senior Center ,7161 Lowetown Rd,McCalla ,TFP ,TC1298,,7/18/2007,1,,
McLeod Software ,McLeod Software ,2550 Acton Rd,Birmingham ,FPS ,,,5/25/2000,2,,
Sprint PCS ,Sprint PCS ,2550 Acton Rd,Birmingham ,FPS ,,,4/1/2001,1,,
St. Thomas Episcopal Church PH. II ,St. Thomas Episcopal Church PH. II ,2870 Acton Rd,Jefferson County ,FPS ,,,12/1/2004,5,,
Synvus Trust Co,Synvus Trust Co,,Jefferson County ,FPS ,,,3/1/2005,1,,
Union Carbide Co ,Union Carbide Co ,Jefferson City ,Jefferson County ,Crumpton Sprinkler,,,9/13/1991,2,,
Homeland,Homeland,149 1st Ave ,Jemison,Crumpton Sprinkler,,,7/23/1988,1,,
Jefferson County Rehab & Health Center Ketona - Kitchen & Patient Dining Renovation ,Jefferson County Rehab & Health Center Ketona ,200 N Pine Hill Rd,Birmingham ,TFP ,TC1271,,4/24/2007,2,,Now North Hill Nursing & Rehabilitation Center 
